epoch,batch_idx,data_type,loss,run_time
62,0,val,41.648880,0.27
62,1,val,49.202301,0.29
63,0,train,41.916843,0.13
63,0,val,42.104408,0.30
63,1,val,43.268147,0.32
64,0,train,33.173859,0.12
64,0,val,41.190788,0.25
64,1,val,48.563553,0.26
65,0,train,63.731907,0.13
65,0,val,41.299252,0.26
65,1,val,43.470482,0.26
66,0,train,39.707024,0.16
66,0,val,40.975784,0.27
66,1,val,44.508026,0.28
67,0,train,34.232784,0.11
67,0,val,41.557896,0.23
67,1,val,44.793610,0.23
68,0,train,46.651375,0.11
68,0,val,41.254120,0.23
68,1,val,44.470798,0.24
69,0,train,36.369869,0.12
69,0,val,41.879471,0.24
69,1,val,44.065189,0.24
70,0,train,37.496567,0.14
70,0,val,42.635048,0.33
70,1,val,48.636814,0.36
71,0,train,35.538246,0.15
71,0,val,41.319221,0.33
71,1,val,43.120461,0.34
72,0,train,39.664577,0.22
72,0,val,41.953587,0.45
72,1,val,44.749741,0.47
73,0,train,38.490288,0.16
73,0,val,41.075119,0.36
73,1,val,43.811317,0.38
74,0,train,54.356819,0.19
74,0,val,41.588276,0.37
74,1,val,50.182034,0.39
75,0,train,50.638981,0.14
75,0,val,44.155140,0.33
75,1,val,47.778809,0.34
76,0,train,30.712162,0.13
76,0,val,41.618759,0.35
76,1,val,43.930286,0.36
77,0,train,39.447941,0.14
77,0,val,41.355907,0.32
77,1,val,49.094402,0.34
78,0,train,42.387688,0.15
78,0,val,41.006435,0.31
78,1,val,43.060070,0.31
79,0,train,47.825249,0.17
79,0,val,40.700905,0.35
79,1,val,43.066650,0.36
80,0,train,37.498535,0.15
80,0,val,40.913357,0.28
80,1,val,43.365444,0.29
81,0,train,31.786190,0.25
81,0,val,41.834679,0.59
81,1,val,43.920700,0.61
82,0,train,36.333229,0.13
82,0,val,46.071644,0.25
82,1,val,44.676758,0.26
83,0,train,37.090294,0.12
83,0,val,40.295849,0.24
83,1,val,43.815838,0.24
84,0,train,40.946266,0.12
84,0,val,44.733963,0.24
84,1,val,43.135628,0.24
85,0,train,42.151012,0.12
85,0,val,41.766724,0.26
85,1,val,43.657333,0.27
86,0,train,39.806171,0.12
86,0,val,44.168076,0.25
86,1,val,43.817898,0.25
87,0,train,37.135254,0.12
87,0,val,40.727028,0.24
87,1,val,45.881470,0.25
88,0,train,49.702633,0.12
88,0,val,41.199081,0.24
88,1,val,51.303219,0.24
89,0,train,44.257412,0.12
89,0,val,41.979538,0.25
89,1,val,58.979286,0.25
90,0,train,40.470051,0.13
90,0,val,41.610851,0.26
90,1,val,45.371906,0.27
91,0,train,34.289490,0.13
91,0,val,40.191231,0.30
91,1,val,42.850876,0.31
92,0,train,49.626408,0.16
92,0,val,41.698906,0.29
92,1,val,42.790306,0.29
93,0,train,40.999004,0.12
93,0,val,40.708775,0.24
93,1,val,51.758610,0.25
94,0,train,30.894968,0.14
94,0,val,43.344727,0.26
94,1,val,44.684425,0.26
95,0,train,46.934658,0.12
95,0,val,41.123432,0.23
95,1,val,43.026577,0.24
96,0,train,38.486370,0.12
96,0,val,40.338085,0.26
96,1,val,51.006859,0.27
97,0,train,28.890230,0.11
97,0,val,42.129665,0.24
97,1,val,43.479897,0.24
98,0,train,38.417366,0.12
98,0,val,40.965012,0.25
98,1,val,43.043644,0.25
99,0,train,42.743851,0.13
99,0,val,40.018986,0.25
99,1,val,45.597397,0.26
100,0,train,39.568619,0.12
100,0,val,40.438980,0.25
100,1,val,42.519638,0.25
101,0,train,43.703667,0.13
101,0,val,40.379337,0.27
101,1,val,43.501385,0.28
102,0,train,50.809685,0.13
102,0,val,41.117851,0.26
102,1,val,51.555202,0.26
103,0,train,43.688210,0.12
103,0,val,39.751446,0.24
103,1,val,44.285591,0.25
104,0,train,43.890484,0.12
104,0,val,42.620655,0.37
104,1,val,43.235519,0.39
105,0,train,33.354412,0.17
105,0,val,39.980892,0.44
105,1,val,42.254005,0.45
106,0,train,32.018539,0.21
106,0,val,49.060688,0.51
106,1,val,49.433414,0.53
107,0,train,34.203728,0.15
107,0,val,40.543552,0.31
107,1,val,48.626812,0.32
108,0,train,40.992420,0.16
108,0,val,41.317055,0.35
108,1,val,42.929405,0.37
109,0,train,44.337200,0.15
109,0,val,40.342266,0.33
109,1,val,43.561794,0.35
110,0,train,49.293694,0.15
110,0,val,40.638493,0.35
110,1,val,44.172272,0.38
111,0,train,25.533762,0.15
111,0,val,42.561722,0.32
111,1,val,42.994518,0.34
112,0,train,47.219498,0.19
112,0,val,40.452446,0.38
112,1,val,44.207966,0.39
113,0,train,36.260876,0.16
113,0,val,41.006386,0.35
113,1,val,46.395485,0.38
114,0,train,31.846182,0.17
114,0,val,41.228260,0.44
114,1,val,43.235428,0.46
115,0,train,30.003799,0.19
115,0,val,43.684494,0.40
115,1,val,53.211926,0.42
116,0,train,38.709480,0.13
116,0,val,42.989670,0.28
116,1,val,42.809856,0.29
117,0,train,41.638760,0.12
117,0,val,41.378487,0.29
117,1,val,48.336777,0.31
118,0,train,40.834728,0.12
118,0,val,42.248505,0.24
118,1,val,44.023167,0.25
119,0,train,28.123672,0.11
119,0,val,40.186192,0.23
119,1,val,43.104866,0.24
120,0,train,29.604017,0.13
120,0,val,40.798698,0.26
120,1,val,43.187820,0.27
121,0,train,43.046650,0.15
121,0,val,42.259842,0.28
121,1,val,43.290447,0.28
122,0,train,33.353554,0.14
122,0,val,40.752548,0.29
122,1,val,45.895351,0.32
123,0,train,32.616856,0.17
123,0,val,47.106953,0.35
123,1,val,42.234558,0.37
124,0,train,41.769878,0.15
124,0,val,40.988232,0.31
124,1,val,43.195518,0.32
125,0,train,36.004036,0.13
125,0,val,41.308594,0.25
125,1,val,43.332146,0.26
126,0,train,43.978352,0.14
126,0,val,42.290279,0.27
126,1,val,43.789619,0.28
127,0,train,34.008682,0.12
127,0,val,43.818302,0.26
127,1,val,42.779533,0.27
128,0,train,39.826458,0.13
128,0,val,40.767857,0.30
128,1,val,47.213268,0.30
129,0,train,27.416939,0.15
129,0,val,42.670391,0.31
129,1,val,42.692123,0.31
130,0,train,29.371408,0.18
130,0,val,40.058228,0.32
130,1,val,43.122543,0.33
131,0,train,29.687263,0.14
131,0,val,41.772686,0.26
131,1,val,45.037197,0.27
132,0,train,36.199516,0.12
132,0,val,43.337177,0.30
132,1,val,45.282513,0.32
133,0,train,32.761372,0.16
133,0,val,39.754696,0.32
133,1,val,43.019196,0.35
134,0,train,40.812588,0.18
134,0,val,46.311287,0.37
134,1,val,51.636700,0.40
135,0,train,36.280403,0.13
135,0,val,41.527786,0.32
135,1,val,43.253159,0.34
136,0,train,28.834032,0.14
136,0,val,41.285770,0.34
136,1,val,44.167126,0.37
137,0,train,24.287338,0.15
137,0,val,41.407688,0.35
137,1,val,43.664604,0.37
138,0,train,32.940884,0.15
138,0,val,50.499859,0.34
138,1,val,42.840061,0.36
139,0,train,33.252308,0.14
139,0,val,42.672562,0.32
139,1,val,45.358315,0.34
140,0,train,29.758108,0.14
140,0,val,39.971733,0.37
140,1,val,46.119930,0.39
141,0,train,30.165503,0.16
141,0,val,39.771786,0.34
141,1,val,42.895241,0.36
142,0,train,33.484436,0.15
142,0,val,40.133595,0.32
142,1,val,43.584377,0.34
143,0,train,35.896336,0.17
143,0,val,40.061268,0.33
143,1,val,43.202648,0.34
144,0,train,32.188026,0.16
