epoch,batch_idx,data_type,loss,run_time
35,1,train,106.370422,0.15
35,0,val,85.786652,0.26
35,1,val,84.471550,0.27
35,2,val,60.636990,0.27
35,3,val,33.074097,0.27
36,0,train,69.278793,0.12
36,1,train,66.781990,0.16
36,0,val,81.975777,0.30
36,1,val,66.985954,0.30
36,2,val,58.532112,0.31
36,3,val,33.334789,0.31
37,0,train,72.549126,0.16
37,1,train,78.760460,0.19
37,0,val,87.554123,0.32
37,1,val,72.836273,0.32
37,2,val,62.128372,0.33
37,3,val,34.383045,0.33
38,0,train,70.947067,0.15
38,1,train,89.577286,0.19
38,0,val,83.385086,0.31
38,1,val,66.560661,0.32
38,2,val,57.615627,0.33
38,3,val,33.511791,0.34
39,0,train,57.900009,0.12
39,1,train,59.387135,0.15
39,0,val,83.019447,0.26
39,1,val,74.311127,0.26
39,2,val,61.282314,0.27
39,3,val,34.003815,0.27
40,0,train,87.008026,0.15
40,1,train,72.043495,0.18
40,0,val,82.826958,0.29
40,1,val,66.578186,0.30
40,2,val,57.323410,0.30
40,3,val,33.557804,0.30
41,0,train,86.002037,0.14
41,1,train,83.843544,0.18
41,0,val,81.793747,0.32
41,1,val,70.066513,0.33
41,2,val,57.683319,0.33
41,3,val,35.896843,0.34
42,0,train,91.373444,0.13
42,1,train,103.719315,0.16
42,0,val,82.376556,0.28
42,1,val,75.117317,0.28
42,2,val,57.335239,0.29
42,3,val,34.211071,0.29
43,0,train,97.065857,0.13
43,1,train,63.963882,0.16
43,0,val,82.331284,0.27
43,1,val,66.669106,0.28
43,2,val,58.477215,0.28
43,3,val,33.739155,0.29
44,0,train,63.691772,0.12
44,1,train,56.890682,0.15
44,0,val,82.121941,0.26
44,1,val,71.547653,0.27
44,2,val,57.651108,0.27
44,3,val,51.145771,0.27
45,0,train,69.322144,0.12
45,1,train,65.138100,0.16
45,0,val,83.036285,0.26
45,1,val,71.799828,0.27
45,2,val,59.354954,0.27
45,3,val,37.581253,0.28
46,0,train,83.943787,0.12
46,1,train,58.864517,0.16
46,0,val,89.609055,0.26
46,1,val,75.684738,0.27
